fpr_target_pct,threshold,tpr,precision,recall,f1,expected_cost
0.0,0.9134,0.3882,1.0,0.3882,0.5592,185987.0
0.25,0.8446,0.5461,0.9765,0.5461,0.7004,138117.0
0.5,0.8382,0.5526,0.9545,0.5526,0.7,136272.0
0.75,0.8062,0.5724,0.9255,0.5724,0.7073,130383.0
1.0,0.7803,0.5921,0.9,0.5921,0.7143,124526.0
1.25,0.6586,0.7171,0.9008,0.7171,0.7985,86657.0
1.5,0.6262,0.7368,0.8819,0.7368,0.8029,80799.0
1.75,0.6052,0.7566,0.8712,0.7566,0.8099,74911.0
2.0,0.6052,0.7566,0.8712,0.7566,0.8099,75042.0
2.25,0.5833,0.7632,0.8406,0.7632,0.8,73166.0
2.5,0.5417,0.7763,0.8194,0.7763,0.7973,69315.0
2.75,0.5417,0.7763,0.8194,0.7763,0.7973,69446.0
3.0,0.5185,0.7895,0.8,0.7895,0.7947,65564.0
3.25,0.4898,0.7961,0.7806,0.7961,0.7883,63689.0
3.5,0.4898,0.7961,0.7806,0.7961,0.7883,63820.0
3.75,0.4608,0.8026,0.7673,0.8026,0.7846,61975.0
4.0,0.4608,0.8026,0.7673,0.8026,0.7846,62106.0
4.25,0.4314,0.8092,0.741,0.8092,0.7736,60230.0
4.5,0.405,0.8158,0.7294,0.8158,0.7702,58355.0
4.75,0.405,0.8158,0.7294,0.8158,0.7702,58486.0
5.0,0.405,0.8158,0.7294,0.8158,0.7702,58617.0
