feature,mean_abs_shap
months_on_book,0.7194853308941795
feat_misc_1,0.6310980692755772
credit_utilization,0.4158237437234788
credit_score_proxy,0.38382996837838484
debt_to_income,0.3694441822299504
loan_to_value,0.34465887653354
payment_history_score,0.33457906679109356
delinquency_rate,0.3340601263054366
revolving_balance,0.31810897690327733
income,0.3070495366050455
utilization_x_dti,0.30554115135104487
num_delinquencies_24m,0.16337165448164773
num_inquiries_6m,0.09911897050909318
employment_stability,0.08859757091635416
region,0.0673501012684466
